folioviv,foliohog,ubica_geo,tam_loc,factor,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ing_cor
0100363001,1,01001,1,197,1,1,81,04,1,47903.20999999999
0100363002,1,01001,1,197,2,1,42,07,6,22368.36
0100363003,1,01001,1,197,2,1,71,04,2,29890.86
0100363004,1,01001,1,197,1,2,85,04,1,31388.62
0100363005,1,01001,1,197,2,1,50,06,5,69719.64
0100363006,1,01001,1,197,2,1,47,06,8,121846.42
0100374901,1,01001,1,189,2,1,70,11,3,439077.65
0100374902,1,01001,1,189,2,2,40,10,4,102591.15
0100374905,1,01001,1,189,2,1,71,10,2,174357.57
0100387901,1,01001,1,174,2,1,38,04,2,31279.09
0100387902,1,01001,1,174,3,1,43,05,7,79233.56000000001
0100391801,1,01001,1,174,2,2,78,01,2,28787.18
0100391802,1,01001,1,174,2,1,28,06,5,21677.95
0100391805,1,01001,1,174,1,2,35,10,1,103108.99
0100398601,1,01001,1,152,2,1,46,03,4,85448.14999999999
0100398602,1,01001,1,152,3,1,53,04,7,84844.18000000002
0100398603,1,01001,1,152,3,1,46,01,8,110508.7
0100398604,1,01001,1,152,2,1,25,06,4,43832.63000000001
0100398605,1,01001,1,152,2,1,59,03,2,78756.95999999999
0100398606,1,01001,1,152,3,1,76,03,3,58586.48
0100403701,1,01001,1,171,2,1,57,10,2,27091.19
0100403702,1,01001,1,171,1,1,37,04,1,20467.9
0100403705,1,01001,1,171,2,1,61,10,2,54089.41999999999
0100403706,1,01001,1,171,4,2,53,03,8,63344.17
0100407801,1,01001,1,200,2,1,71,10,2,86563.69
0100407803,1,01001,1,200,2,2,33,11,2,59262.29
0100407804,1,01001,1,200,2,1,56,10,3,95950.78999999999
0100407805,1,01001,1,200,2,1,32,11,4,158356.87
0100407806,1,01001,1,200,1,1,33,09,1,61721.29
0100414201,1,01001,1,174,3,2,69,03,5,24980.56
0100414202,1,01001,1,174,2,1,58,04,4,70718.99999999999
0100414203,1,01001,1,174,2,1,60,06,3,56803.75
0100414204,1,01001,1,174,2,1,54,08,3,68020.47
0100414205,1,01001,1,174,1,1,30,09,1,33677.02
0100414206,1,01001,1,174,2,2,65,10,2,165339.49
0100443401,1,01001,1,189,2,2,96,03,2,18990.06
0100443402,1,01001,1,189,3,1,57,06,3,43260.56
0100443403,1,01001,1,189,3,1,74,03,6,67192.25
0100443404,1,01001,1,189,3,1,34,06,5,59062.46999999999
0100443405,1,01001,1,189,3,2,63,06,3,82708.87999999999
0100446501,1,01001,1,182,1,2,58,08,1,18933.07
0100446503,1,01001,1,182,1,1,36,09,1,56456.69
0100446504,1,01001,1,182,2,1,42,03,6,48249.14
0100446505,1,01001,1,182,2,1,49,03,6,48687.39999999999
0100446506,1,01001,1,182,2,1,37,06,4,34594.85999999999
0100451302,1,01001,1,187,2,2,71,03,2,49427.36
0100451304,1,01001,1,187,3,2,51,03,14,50576.07
0100451305,1,01001,1,187,2,1,39,03,3,42031.38000000001
0100452901,1,01001,1,174,2,2,42,10,5,93313.42
0100452902,1,01001,1,174,3,2,56,01,7,60196.61
0100452903,1,01001,1,174,3,2,61,03,4,41958.53
0100452904,1,01001,1,174,2,2,57,04,2,45553.01
0100452905,1,01001,1,174,3,2,76,03,7,60909.94
0100452906,1,01001,1,174,1,2,69,01,1,12563.64
0100465001,1,01001,1,187,3,1,72,06,5,86516.09000000003
0100465002,1,01001,1,187,2,1,32,08,4,89062.22
0100465003,1,01001,1,187,3,1,65,10,5,137219.96
0100465004,1,01001,1,187,3,1,65,04,8,72562.05
